PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
518,13,Milos Teodosic,G,31,15,10,20.8,18.1,32.8,7,0.571,13,0.538,27,0.37,0.55,0.557,3.2,1,5.3,2.1,28.3,0.2,0.07,1.4,7.5,92.4,98
519,18,Jared Terrell,G,24,7,9.6,19.9,20.6,21.3,2,0.5,14,0.286,11,0.364,0.4,0.406,3,0.4,2.4,1,14.2,0.43,0.14,1,4.4,76.2,104.8
520,24,Emanuel Terry,F,23,2,9.8,20.3,19.6,22.5,2,0.5,6,0.667,0,0,0.667,0.654,4.5,3,17.3,0.5,8.3,1.5,0,1,7.7,107.5,88.1
521,16,Emanuel Terry,F,23,1,3.3,6.9,24.3,0,2,0.5,1,0,0,0,0,0.266,1,1,16.2,1,37.1,0,0,0,12.1,,
522,2,Daniel Theis,F,26,46,15.1,31.4,15.9,9.8,64,0.75,152,0.625,51,0.451,0.638,0.664,6.7,3.9,13.7,1.2,10.9,0.33,0.63,0.54,8.4,134.5,92.5
523,8,Isaiah Thomas,G,30,3,17.6,36.6,31.1,18.2,8,0.75,11,0.455,17,0.353,0.5,0.539,11.3,1.3,4.1,2.7,22.5,0,0.33,2.33,7.8,100.4,101
524,9,Khyri Thomas,G,22,18,8.8,18.3,14.8,5.5,9,0.667,19,0.368,29,0.345,0.458,0.481,2.8,0.8,5.2,0.3,4.5,0.28,0.22,0.17,4,101.6,102.6
525,20,Lance Thomas,F,30,27,17,35.3,11.9,10.1,23,0.826,65,0.508,41,0.244,0.453,0.495,4.3,2.6,8,0.5,4.3,0.59,0.22,0.48,4.2,101.5,103.9
526,10,Klay Thompson,G,29,59,34.3,71.4,25.7,7.4,134,0.813,630,0.519,440,0.398,0.551,0.57,21.8,4,6.2,2.3,10.3,1.1,0.64,1.53,6.8,109.9,109
527,6,Tristan Thompson,F-C,27,35,29.8,62.1,17.5,12,85,0.647,329,0.526,0,0,0.526,0.547,11.5,11.1,20.7,2.1,11.3,0.77,0.46,1.43,8.7,117.5,108.7
528,13,Sindarius Thornwell,G,24,44,5.7,11.9,12,25.3,23,0.696,30,0.433,13,0.154,0.372,0.452,1.1,0.8,7.6,0.3,7.1,0.25,0.07,0.41,4.5,80.2,99.3
529,18,Anthony Tolliver,F,33,43,15.2,31.6,11.8,12,34,0.735,22,0.545,125,0.4,0.592,0.614,4.6,2.3,8,0.5,4.2,0.3,0.33,0.51,4.6,114.2,106.3
530,18,Karl-Anthony Towns,F-C,23,58,33.1,68.9,27.5,13.5,315,0.844,690,0.564,263,0.392,0.57,0.62,23.3,12.2,19.8,3.3,16.4,0.93,1.78,2.93,11.8,118.9,99.4
531,25,Gary Trent Jr.,G,20,9,4.3,8.9,24,4.6,4,0.25,10,0.2,9,0.333,0.342,0.337,1.6,0.4,5.5,0.1,3.5,0,0.11,0.11,3.7,71.9,113.5
532,20,Allonzo Trier,G,23,53,22.3,46.5,20.5,16.6,164,0.841,308,0.471,96,0.375,0.493,0.563,10.1,3,6.9,1.9,13.2,0.42,0.26,1.79,6.9,103.8,110.3
533,11,PJ Tucker,F,33,60,35.3,73.5,9.8,10.2,55,0.673,119,0.462,290,0.362,0.52,0.533,7.7,6.2,9.9,1.3,4.9,1.7,0.45,0.82,4.5,113.1,106
534,25,Evan Turner,G-F,30,57,23.3,48.6,16.5,18.2,85,0.706,339,0.501,47,0.149,0.468,0.497,7.4,4.6,10.4,3.9,22.7,0.49,0.25,1.65,8.8,102.9,105.8
535,12,Myles Turner,F-C,22,54,28.2,58.8,20.1,10.6,129,0.721,447,0.532,126,0.405,0.549,0.573,13.4,7,13.8,1.6,8.4,0.74,2.74,1.39,7.5,110.3,97.8
536,29,Ekpe Udoh,C-F,31,35,5.5,11.4,12,14.8,16,0.625,39,0.718,0,0,0.718,0.717,1.9,1.1,11.4,0.4,10.8,0.11,0.49,0.23,6.9,133.3,97.5
537,5,Tyler Ulis,G,23,1,0.8,1.7,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
538,28,Jonas Valanciunas,C,26,30,18.8,39.2,25.6,11.8,94,0.819,228,0.614,30,0.3,0.595,0.641,12.8,7.2,20.6,1,8.5,0.4,0.77,1.33,9.6,121.4,92.6
539,15,Jonas Valanciunas,C,26,4,24.6,51.3,35.4,14.3,16,0.688,55,0.6,4,0.25,0.585,0.606,20,10.3,23.6,2,19.1,0.25,1.25,2.75,12.1,108.1,93.1
540,8,Jarred Vanderbilt,F,19,5,3.5,7.3,19,12.9,4,0.25,5,0.2,0,0,0.2,0.222,0.6,2.4,37.5,0.2,7,0.4,0.2,0.2,7.5,,
541,28,Fred VanVleet,G,25,51,26.8,55.9,17.8,11.2,90,0.833,237,0.439,232,0.366,0.494,0.529,10.5,2.7,5.4,4.6,23.4,0.88,0.22,1.25,7.6,112.8,106.3
542,20,Noah Vonleh,F,23,60,25.4,53,14.4,14.4,133,0.722,257,0.51,129,0.333,0.506,0.548,8.1,7.9,16.3,1.9,10.8,0.72,0.8,1.25,7.8,110.6,103.1
543,22,Nikola Vucevic,C,28,60,31,64.6,27.9,10,158,0.766,822,0.552,176,0.386,0.557,0.578,20.6,12.1,20.9,3.9,22.9,0.97,1.15,1.97,12.8,115.4,100.9
544,16,Dwyane Wade,G,37,49,25.6,53.4,26.9,14.1,161,0.683,437,0.478,173,0.312,0.475,0.507,14.1,3.7,7.8,4.3,27.8,0.71,0.53,2.29,9.5,102.4,106.4
545,14,Moritz Wagner,C,21,23,6.7,13.9,22.5,14.4,15,0.6,33,0.485,32,0.375,0.523,0.538,3.3,1.5,11.7,0.4,9.2,0.26,0.13,0.52,7.5,100.5,99.7
546,16,Dion Waiters,G,27,21,23.8,49.7,21,11.8,17,0.471,86,0.512,124,0.347,0.517,0.517,10.7,2.4,5.3,2.9,18.9,0.62,0.14,1.38,7.1,102.6,108.5
547,27,Lonnie Walker IV,G,20,6,9.5,19.7,20.7,14.9,4,1,15,0.133,6,0.333,0.238,0.308,2.3,1.7,9.7,0.3,4.4,0.5,0.17,0.67,4.4,59.9,107
548,4,Kemba Walker,G,28,60,34.6,72.2,31.1,10,317,0.83,663,0.486,554,0.359,0.51,0.554,25.1,4.3,6.7,5.7,27.9,1.23,0.45,2.52,9.8,111.4,110.6
549,13,Tyrone Wallace,G,24,47,10.5,21.9,18.7,10.5,49,0.49,159,0.453,15,0.2,0.44,0.453,3.8,1.7,8.4,0.7,9,0.38,0.15,0.49,6.3,92.3,100.9
550,30,John Wall,G,28,32,34.5,71.9,29,16.3,175,0.697,382,0.508,169,0.302,0.491,0.528,20.7,3.6,5.8,8.7,39.3,1.53,0.91,3.81,10,103.7,111.6
551,2,Brad Wanamaker,G,29,27,9.2,19.3,16,15.1,15,0.933,41,0.439,31,0.516,0.583,0.623,3.6,1,5.8,1.4,20.2,0.33,0.04,0.52,7.5,119.8,104.4
552,24,T.J. Warren,F,25,43,31.6,65.9,22.7,7.2,124,0.815,431,0.51,180,0.428,0.549,0.58,18,4,7.1,1.5,7.8,1.19,0.67,1.21,6,111.3,110.8
553,15,Julian Washburn,F-G,27,7,15.7,32.6,9.8,12.6,4,0.75,11,0.182,8,0.125,0.184,0.241,1.4,2.9,10.3,0.4,3.7,0.57,0,0.43,3,62.3,106.8
554,15,Yuta Watanabe,G,24,10,9.8,20.4,16.8,11,10,0.7,19,0.421,9,0.222,0.393,0.448,2.9,1.9,11,0.4,6.1,0.2,0.1,0.4,5.3,87.3,108.5
555,8,Thomas Welsh,C,23,9,3.6,7.6,15.5,8.4,2,0.5,3,0.667,7,0.429,0.65,0.643,1.6,0.4,6.7,0.4,16.8,0,0,0.11,7.1,,
